,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,cluster
321,2015,4,10,-7.500371456,106.4316101,51.0,4.739276579,Night,Light,Shallow,-1
323,2015,4,10,-8.55623436,108.8539124,44.0,3.795487125,Afternoon,Minor,Shallow,13
325,2015,4,10,-8.417715073,109.1966629,27.0,3.914843754,Evening,Minor,Shallow,15
327,2015,4,10,-7.173208714,105.1449127,21.0,4.237286568,Night,Light,Shallow,-1
330,2015,4,10,-8.200256348,107.2174072,11.0,3.670257465,Afternoon,Minor,Shallow,7
339,2015,4,10,-7.59469223,105.7097855,10.0,3.766431311,Night,Minor,Shallow,-1
341,2015,4,10,-8.874850273,112.3975067,45.0,3.762230682,Morning,Minor,Shallow,8
345,2015,4,10,-7.999565601,110.5226364,10.0,3.794369361,Evening,Minor,Shallow,-1
348,2015,4,10,-6.370408535,110.9139404,14.0,5.020627316,Evening,Moderate,Shallow,-1
351,2015,4,10,-7.118697166,105.3024673,10.0,3.757635629,Afternoon,Minor,Shallow,1
352,2015,4,10,-7.043156624,105.5801163,10.0,3.901477388,Morning,Minor,Shallow,20
357,2015,4,10,-8.39851284,109.4458389,36.0,4.389141483,Dawn,Light,Shallow,-1
359,2015,4,10,-8.684808731,109.7920227,51.0,4.977078935,Morning,Light,Shallow,-1
360,2015,4,10,-8.411313057,107.5557022,10.0,4.45846189,Morning,Light,Shallow,28
362,2015,4,10,-7.765872478,106.8944244,22.0,4.267669102,Evening,Light,Shallow,14
365,2015,4,11,-8.046742439,107.0452805,10.0,3.699981104,Night,Minor,Shallow,14
368,2015,4,11,-8.138549805,107.2532959,56.0,5.870134988,Evening,Moderate,Shallow,7
369,2015,4,11,-7.838332176,106.537384,10.0,3.591529762,Dawn,Minor,Shallow,6
372,2015,4,11,-8.29970932,107.3619385,10.0,3.516471717,Morning,Minor,Shallow,7
384,2015,4,11,-7.081380367,105.4741135,25.0,3.549560785,Morning,Minor,Shallow,-1
385,2015,4,11,-8.96407032,111.2610245,26.0,4.460152515,Morning,Light,Shallow,16
386,2015,4,11,-7.217413902,105.5257263,47.0,4.567792183,Evening,Light,Shallow,-1
387,2015,4,11,-7.346394539,105.5203247,44.0,4.424186877,Evening,Light,Shallow,-1
388,2015,4,11,-7.493596554,105.516861,10.0,3.816953489,Evening,Minor,Shallow,-1
391,2015,4,11,-7.03946209,105.647644,31.0,3.599388054,Morning,Minor,Shallow,20
394,2015,4,11,-7.825517178,106.1045151,11.0,4.35844362,Morning,Light,Shallow,-1
395,2015,4,11,-7.887017727,106.0767822,10.0,4.048304305,Afternoon,Light,Shallow,-1
396,2015,4,11,-7.931201935,107.2528992,14.0,3.628324668,Evening,Minor,Shallow,4
397,2015,4,11,-8.486177444,112.7167053,10.0,3.791957614,Dawn,Minor,Shallow,-1
399,2015,4,11,-7.76133585,106.0507431,10.0,3.891821742,Morning,Minor,Shallow,3
403,2015,4,12,-8.851261139,110.3524628,21.0,4.232707783,Night,Light,Shallow,11
415,2015,4,12,-8.388892174,109.0425797,51.0,3.682994008,Night,Minor,Shallow,13
416,2015,4,12,-7.199650288,105.2269897,15.0,4.364540751,Evening,Light,Shallow,1
418,2015,4,12,-8.180524826,107.1179123,10.0,4.372426646,Morning,Light,Shallow,7
419,2015,4,12,-8.425102234,113.2616959,10.0,4.038832052,Afternoon,Light,Shallow,-1
423,2015,4,12,-8.486623764,107.0111237,52.0,5.451605213,Afternoon,Moderate,Shallow,-1
424,2015,4,12,-8.395967484,107.9061661,31.0,4.336412507,Evening,Light,Shallow,2
426,2015,4,12,-8.180463791,107.3052979,18.0,3.811508959,Afternoon,Minor,Shallow,7
429,2015,4,12,-8.583423615,109.8180084,26.0,3.602501459,Morning,Minor,Shallow,29
431,2015,4,12,-8.211543083,107.2601089,10.0,3.726884622,Evening,Minor,Shallow,7
432,2015,4,12,-8.673288345,109.5664062,10.0,3.524032498,Dawn,Minor,Shallow,-1
441,2016,1,1,-7.909268379,107.3885117,37.0,3.608403428,Afternoon,Minor,Shallow,7
442,2016,1,1,-7.519201756,106.6128082,68.0,4.666479775,Afternoon,Light,Shallow,-1
449,2016,1,1,-8.903044701,110.0281219,10.0,3.505335411,Morning,Minor,Shallow,-1
452,2016,1,1,-7.997507095,110.487114,12.0,3.591045636,Dawn,Minor,Shallow,-1
460,2016,1,1,-8.325294495,112.613945,10.0,3.680343044,Afternoon,Minor,Shallow,-1
461,2016,1,1,-8.876454353,111.2283783,17.0,3.565764761,Afternoon,Minor,Shallow,16
462,2016,1,1,-8.522215843,108.0662994,12.0,4.322773574,Afternoon,Light,Shallow,-1
