longitude,latitude,magnitude,depth,year,area,cluster
109.4225159,-8.468306541,3.812374465,10.0,2019,6,-1
106.6975403,-7.607729435,3.501124794,22.0,2019,11,7
108.564682,-6.414844036,4.963681179,10.0,2019,19,-1
107.3474808,-8.002112389,3.678618569,20.0,2019,8,8
111.2947083,-6.855415821,3.657101554,19.0,2019,4,-1
108.7640457,-8.475073814,3.719253278,50.0,2019,6,11
107.2555542,-8.110523224,3.751192301,14.0,2019,2,8
105.6010971,-7.064824104,3.973980323,19.0,2019,16,20
107.3107529,-8.156995773,3.635042524,13.0,2019,2,8
107.2805939,-7.878808022,3.898171018,20.0,2020,8,5
107.9173584,-7.991178989,3.985845825,53.0,2020,20,2
107.8881149,-8.11703968,3.862142854,25.0,2020,20,2
107.2472916,-7.905310631,4.17778752,15.0,2020,8,5
107.334877,-8.117307663,4.924720104,55.0,2020,2,8
105.9266739,-7.496243954,4.344108904,10.0,2020,1,4
110.9844666,-8.982024193,3.780126093,25.0,2020,7,19
108.589798,-8.834147453,3.837043112,10.0,2020,14,-1
108.5564957,-8.852581024,3.754343747,10.0,2020,14,-1
107.2758636,-7.859739304,3.685357201,21.0,2020,8,5
106.1481323,-7.469027042,5.549975876,10.0,2020,1,4
107.728302,-7.214025497,4.624648064,3.0,2020,15,10
113.0730515,-7.233778,7.003433245,10.0,2020,18,-1
109.4076767,-8.452008247,3.951851714,36.0,2020,6,-1
112.615448,-7.80899477,3.606182327,19.0,2020,18,-1
105.0268936,-7.151454926,3.91265795,18.0,2020,16,-1
108.111763,-8.357831955,3.603493439,24.0,2020,22,6
111.9896393,-7.682167053,4.095326804,10.0,2020,18,-1
110.9439621,-6.557617188,4.605129232,10.0,2020,4,-1
106.0331726,-7.343821049,4.197245274,5.0,2020,9,4
107.4939728,-8.08343029,4.384910541,56.0,2020,2,-1
108.8524857,-8.66877079,3.598043696,25.0,2020,6,-1
108.9673233,-8.369632721,3.765664927,18.0,2020,6,14
108.9803085,-8.556308746,3.503883193,10.0,2020,6,14
107.0171967,-7.786986351,4.262893458,25.0,2020,8,15
106.0383682,-7.445070744,4.217764991,10.0,2020,1,4
