year,quarter,month,latitude,longitude,magnitude,depth,dayPeriod,earthquakeCategory,depthCategory,cluster1_4
2015,3,9,-7.744223595,106.4005508,4.846524138,49.0,Morning,Light,Shallow,0
2015,3,9,-8.401560783,107.8914795,3.901267056,17.0,Morning,Minor,Shallow,0
2015,3,9,-8.066429138,107.359375,3.464265764,17.0,Night,Minor,Shallow,0
2015,3,9,-8.223365784,107.3390808,5.369762749,49.0,Evening,Moderate,Shallow,0
2015,3,9,-8.593611717,109.7370834,3.769717635,10.0,Evening,Minor,Shallow,0
2015,3,9,-7.1676898,105.9774094,3.902227678,79.0,Evening,Minor,Intermediate,0
2015,3,9,-8.47793293,112.7135544,4.239609038,10.0,Night,Light,Shallow,0
2015,3,9,-8.592338562,108.338707,3.351400695,36.0,Morning,Minor,Shallow,0
2015,3,9,-8.123568535,107.3867569,2.821845657,10.0,Afternoon,Micro,Shallow,1
2015,3,9,-8.176465988,107.3240585,4.770639136,10.0,Dawn,Light,Shallow,0
2015,3,9,-8.238836288,113.1441956,2.785848265,145.0,Night,Micro,Intermediate,2
2015,3,9,-8.19493103,107.3982773,3.543302647,10.0,Afternoon,Minor,Shallow,0
2015,3,9,-8.849349022,112.5027847,4.992450844,42.0,Afternoon,Light,Shallow,0
2015,3,9,-7.610866547,107.6197205,3.750603116,89.0,Morning,Minor,Intermediate,2
2015,3,9,-8.817434311,111.4402771,2.873918175,20.0,Night,Micro,Shallow,1
2015,3,9,-8.705029488,109.8439789,3.471517098,26.0,Night,Minor,Shallow,0
2015,3,9,-8.901738167,109.7324142,3.513776396,10.0,Night,Minor,Shallow,0
2015,3,9,-8.435032845,107.8578796,2.790090487,12.0,Evening,Micro,Shallow,1
2015,3,9,-7.493786812,106.6835938,3.394327453,36.0,Dawn,Minor,Shallow,0
2015,3,9,-7.450603962,106.7171173,2.850534454,33.0,Afternoon,Micro,Shallow,1
2015,3,9,-7.877262115,106.7907715,3.052241239,22.0,Afternoon,Minor,Shallow,1
2015,3,9,-8.097986221,107.3532867,2.679722314,21.0,Afternoon,Micro,Shallow,1
2015,3,9,-7.377702713,110.4187393,3.012792072,10.0,Morning,Minor,Shallow,1
2015,3,9,-7.581371307,113.014183,2.454790082,127.0,Morning,Micro,Intermediate,1
2015,3,9,-8.40703392,109.2467728,2.939505192,31.0,Morning,Micro,Shallow,1
2015,3,9,-8.434276581,107.8133392,3.109780964,22.0,Evening,Minor,Shallow,1
2015,3,9,-8.966590881,110.4136963,3.544161553,15.0,Evening,Minor,Shallow,0
2015,3,9,-8.076593399,107.8636093,3.255573332,26.0,Evening,Minor,Shallow,1
2015,3,9,-8.947591782,110.2197189,2.96150821,10.0,Evening,Micro,Shallow,1
2015,3,9,-8.547288895,108.9483261,3.830958239,61.0,Morning,Minor,Shallow,0
2015,3,9,-8.354081154,111.4889603,3.274464786,113.0,Morning,Minor,Intermediate,2
2015,3,9,-7.956570148,110.5190506,3.473641953,10.0,Night,Minor,Shallow,0
2015,3,9,-8.895314217,110.4538956,3.383906197,10.0,Evening,Minor,Shallow,0
2015,3,9,-6.739140034,108.9945297,3.181999655,167.0,Evening,Minor,Intermediate,2
2015,3,9,-8.844486237,111.3762665,3.219159152,75.0,Evening,Minor,Intermediate,1
2015,3,9,-7.967489243,107.9383621,2.508728793,36.0,Night,Micro,Shallow,1
2015,3,9,-7.846850395,108.0060349,2.387638557,42.0,Night,Micro,Shallow,1
2015,3,9,-7.567612648,106.6857147,3.12830493,30.0,Dawn,Minor,Shallow,1
2015,3,9,-8.002797127,110.5011597,4.584077471,10.0,Afternoon,Light,Shallow,0
2015,3,9,-8.02648735,107.3967133,3.891551752,27.0,Afternoon,Minor,Shallow,0
