,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,area,cluster1_5
104,2015.0,1,2.0,-7.391421795,107.8327484,150.0,4.59508793,Morning,Light,Intermediate,1,1
105,2015.0,1,2.0,-6.852005482,107.8880234,13.0,3.410062803,Dawn,Minor,Shallow,1,3
106,2015.0,1,2.0,-8.208862305,113.9176788,11.0,2.424026388,Morning,Micro,Shallow,0,2
107,2015.0,1,2.0,-8.928726196,111.1410904,70.0,3.903168537,Afternoon,Minor,Shallow,0,3
108,2015.0,1,2.0,-8.361907005,109.2002411,35.0,4.377804553,Evening,Light,Shallow,3,0
109,2015.0,1,2.0,-8.184550285,107.4383926,10.0,4.164701848,Afternoon,Light,Shallow,3,4
110,2015.0,1,2.0,-8.201664925,107.2761459,12.0,4.103296724,Morning,Light,Shallow,3,0
111,2015.0,1,2.0,-8.443415642,108.9878922,17.0,3.60583818,Morning,Minor,Shallow,3,0
112,2015.0,1,2.0,-7.919701099,107.0254822,10.0,3.529966917,Morning,Minor,Shallow,3,0
113,2015.0,1,2.0,-7.538618565,113.0613403,16.0,4.455640573,Afternoon,Light,Shallow,0,3
114,2015.0,1,3.0,-7.49687767,109.6353683,10.0,2.66259129,Afternoon,Micro,Shallow,3,4
115,2015.0,1,3.0,-8.949979782,111.2281113,10.0,4.76419049,Evening,Light,Shallow,0,2
116,2015.0,1,3.0,-7.619208813,106.9117432,28.0,2.801464431,Evening,Micro,Shallow,2,0
117,2015.0,1,3.0,-7.025591373,105.4354782,16.0,4.197799161,Evening,Light,Shallow,2,0
118,2015.0,1,3.0,-8.643356323,109.1410675,51.0,3.811242007,Night,Minor,Shallow,3,0
119,2015.0,1,3.0,-6.286139488,107.9495163,296.0,4.220934932,Night,Light,Intermediate,1,2
120,2015.0,1,3.0,-8.670337677,112.5569839,133.0,4.780742734,Evening,Light,Intermediate,0,1
121,2015.0,1,3.0,-6.604495525,107.4376831,48.0,3.150048031,Morning,Minor,Shallow,1,2
122,2015.0,1,3.0,-6.963722706,106.2639465,117.0,4.010594102,Afternoon,Light,Intermediate,1,1
123,2015.0,1,3.0,-7.032893658,106.9257126,10.0,2.693840305,Afternoon,Micro,Shallow,1,3
124,2015.0,1,3.0,-7.412759781,106.7943726,15.0,2.946180025,Afternoon,Micro,Shallow,2,4
125,2015.0,1,3.0,-8.139584541,113.9171295,10.0,2.329326403,Morning,Micro,Shallow,0,2
126,2015.0,1,3.0,-8.183819771,113.8834457,10.0,2.240673706,Morning,Micro,Shallow,0,2
127,2015.0,1,3.0,-7.910694122,106.5440903,10.0,3.336875805,Evening,Minor,Shallow,2,0
128,2015.0,1,3.0,-7.105088234,106.229866,99.0,3.784105453,Morning,Minor,Intermediate,2,0
129,2015.0,1,3.0,-8.477085114,108.8972397,10.0,3.940937641,Morning,Minor,Shallow,3,0
130,2015.0,1,3.0,-8.462662697,108.8598099,10.0,4.213164665,Afternoon,Light,Shallow,3,4
131,2015.0,1,3.0,-7.374401569,107.829071,64.0,2.825024005,Evening,Micro,Shallow,1,2
132,2015.0,1,3.0,-8.14523983,113.9274216,12.0,2.220669123,Dawn,Micro,Shallow,0,3
133,2015.0,1,3.0,-6.921978474,109.0514832,10.0,4.83752439,Evening,Light,Shallow,1,2
134,2015.0,1,3.0,-8.598883629,109.5605392,73.0,4.264278751,Afternoon,Light,Intermediate,3,4
135,2015.0,1,3.0,-7.591256142,106.7815552,10.0,2.979353907,Evening,Micro,Shallow,2,0
136,2015.0,1,3.0,-7.807667255,110.3262329,10.0,2.507699292,Dawn,Micro,Shallow,0,3
137,2015.0,1,3.0,-8.086642265,113.9103241,10.0,2.234465686,Afternoon,Micro,Shallow,0,3
138,2015.0,1,3.0,-7.985831261,106.9197998,10.0,4.373226308,Afternoon,Light,Shallow,3,4
139,2015.0,1,3.0,-7.095377922,107.6553116,10.0,3.303456444,Morning,Minor,Shallow,1,2
140,2015.0,1,3.0,-8.452349663,108.9158783,20.0,3.440469043,Afternoon,Minor,Shallow,3,4
141,2015.0,1,3.0,-8.06193924,109.2668991,22.0,2.798087306,Afternoon,Micro,Shallow,3,4
142,2015.0,2,4.0,-8.686862946,109.3037262,126.0,3.757161161,Afternoon,Minor,Intermediate,3,4
143,2015.0,2,4.0,-8.179347038,113.9826889,24.0,2.044221894,Night,Micro,Shallow,0,2
144,2015.0,2,4.0,-8.439977646,112.0759964,164.0,3.034600296,Afternoon,Minor,Intermediate,0,1
145,2015.0,2,4.0,-7.05563736,105.114212,53.0,4.84075199,Evening,Light,Shallow,2,0
146,2015.0,2,4.0,-8.279860497,113.9520645,13.0,2.18813592,Evening,Micro,Shallow,0,2
147,2015.0,2,4.0,-8.179531097,113.9904709,10.0,2.445591045,Evening,Micro,Shallow,0,2
148,2015.0,2,4.0,-7.11593914,105.2188568,16.0,4.19077119,Morning,Light,Shallow,2,0
149,2015.0,2,4.0,-7.325556755,105.9015503,10.0,3.776291015,Afternoon,Minor,Shallow,2,4
150,2015.0,2,4.0,-8.121022224,113.8824158,10.0,2.543462472,Evening,Micro,Shallow,0,2
151,2015.0,2,4.0,-8.304533005,108.2330704,10.0,3.968421544,Evening,Minor,Shallow,3,0
152,2015.0,2,4.0,-7.937761307,106.6167068,34.0,3.518795937,Afternoon,Minor,Shallow,2,4
153,2015.0,2,4.0,-7.977192879,113.6747742,18.0,2.37894056,Night,Micro,Shallow,0,2
154,2015.0,2,4.0,-8.216500282,113.9546814,19.0,2.336982336,Evening,Micro,Shallow,0,2
155,2015.0,2,4.0,-8.447500229,109.2647629,29.0,3.852379309,Evening,Minor,Shallow,3,0
156,2015.0,2,4.0,-7.444552422,109.0076599,10.0,3.137150067,Afternoon,Minor,Shallow,3,4
157,2015.0,2,5.0,-7.043694973,109.1926956,273.0,3.31915127,Evening,Minor,Intermediate,1,1
158,2015.0,2,5.0,-6.927571297,106.6777802,10.0,3.099307513,Afternoon,Minor,Shallow,1,3
159,2015.0,2,5.0,-8.827442169,110.3326263,19.0,4.195433424,Night,Light,Shallow,0,2
160,2015.0,2,5.0,-7.550934315,106.5462418,79.0,3.537516997,Night,Minor,Intermediate,2,0
161,2015.0,2,5.0,-8.413401604,109.2483368,10.0,3.979142571,Afternoon,Minor,Shallow,3,4
162,2015.0,2,5.0,-8.395197868,110.2744522,76.0,4.540624204,Morning,Light,Intermediate,0,1
